combo_idx,variable,avg,std,conf80,conf90,conf95,conf99,cum80,cum90,cum95,cum99
0,,17.78665463,14.09584029,0.902133778,1.159382863,1.381392348,1.818363397,32.28741411,40.80673985,41.76122604,48.08326112
1,NK,8.458981095,9.740736529,0.623407138,0.80117558,0.95459218,1.256555012,11.66190379,23.77807424,29.22152315,35.60898763
2,NK,5.018737379,8.947496218,0.572639758,0.735931564,0.876854629,1.154227012,10.56611147,23.76981517,23.77627259,35.60898763
3,NK,3.507628969,5.863081763,0.375237233,0.482238475,0.574582013,0.756337547,1.768401082,9.451585493,21.09557563,23.77565766
4,NK,2.612061707,4.86580306,0.311411396,0.400212302,0.4768487,0.627688595,1.721335821,9.43929227,9.827332615,23.62790942
5,NK,2.235198042,3.487432864,0.223195703,0.286841353,0.341768421,0.449878839,1.729358275,4.625431871,9.471278814,10.61132161
6,NK,1.924606105,3.638388256,0.232856848,0.299257434,0.356562049,0.469352085,1.860749094,9.37434043,9.556325412,21.01278285
7,B,11.19538486,11.30840081,0.723737652,0.930115967,1.108223279,1.458783705,23.78433037,26.68332813,31.75821168,40.94214169
8,B,8.070109297,10.26446509,0.656925766,0.844252254,1.005917579,1.324115997,18.7449868,26.68332813,28.41574139,35.60898763
9,B,5.259186196,8.885957937,0.568701308,0.73087004,0.870823878,1.146288574,7.211102551,23.77607752,26.68332813,34.40930107
10,B,3.778600749,6.899609832,0.441575029,0.567492909,0.676161764,0.890049668,2.961116696,10.77032961,26.68332813,31.59810812
11,B,2.9242024,5.930124517,0.379527969,0.487752742,0.581152203,0.764986063,2,6.714433379,12.13607106,26.68332813
12,B,2.605590767,5.501092111,0.352069895,0.452464826,0.539107027,0.709640882,2,2.551378543,10.77032961,26.68332813
13,T,12.96606374,13.60874493,0.870959675,1.11931927,1.333657003,1.755528096,26.68332813,35.60898763,41.48364112,47.25354957
14,T,9.036766544,10.4688371,0.670005575,0.861061852,1.025946036,1.350479986,10.77032961,26.68332813,34.40930107,41.48957995
15,T,7.20800281,8.482362022,0.542871169,0.697674276,0.831271478,1.094224701,10.77032961,11.66190379,26.68332813,35.60898763
16,T,7.090335043,8.428246744,0.539407792,0.693223295,0.825968181,1.08724383,9.657437263,11.66190379,26.68332813,35.60898763
17,T,7.021736664,8.750978969,0.560062654,0.71976802,0.857595939,1.128876287,10.77032961,22.44102021,31.7501897,35.60898763
18,T,6.896109922,8.852354777,0.566550706,0.72810618,0.867530768,1.141953766,9.655137356,11.66190379,31.67583,35.60898763
19,all,6.871596395,10.12805359,0.64819543,0.833032408,0.992549252,1.306518913,12.08478103,23.78034717,25.28350623,35.60898763
20,all,1.269517149,0.563109913,0.036039034,0.04631579,0.055184771,0.072641179,1.761484542,1.895013933,1.974139662,2.056364212
21,all,1.063086946,0.449375393,0.028760025,0.036961126,0.044038788,0.057969426,1.588512471,1.627068852,1.64656487,1.776193403
22,all,0.800180626,0.460994944,0.029503676,0.037916834,0.045177504,0.059468348,1.507505075,1.783752735,1.802764746,1.828822236
23,all,0.619061329,0.514814874,0.032948152,0.042343523,0.050451858,0.066411119,1.249370667,1.263157678,1.296506661,1.590027918
24,all,0.278343716,0.420851173,0.026934475,0.034615009,0.041243415,0.054289801,0.614912589,0.922373424,1.306070187,1.333978012
